magnitude,tsunami,significance,num_stations,min_distance,rms,gap,depth,severe
5.0,0,385,133.0,1.56,0.61,32.0,336.23,0
3.0,0,138,10.0,0.503,0.24,304.0,71.738,0
5.3,0,432,54.0,1.937,0.62,88.0,54.05,0
1.8,0,50,18.0,0.0,0.1,60.0,7.674,0
5.0,0,385,101.0,1.831,0.76,65.0,60.007,1
4.6,0,327,55.0,0.56,0.89,69.0,64.467,0
4.0,0,246,30.0,1.143,0.35,55.0,10.0,0
5.6,0,482,121.0,4.565,0.57,27.0,9.0,1
2.1,0,68,15.0,0.0,0.1,71.0,8.0211,0
4.5,0,312,17.0,1.513,0.55,81.0,10.0,0
5.0,0,385,133.0,1.56,0.61,32.0,336.23,0
6.6,1,671,302.0,4.329,0.9,16.0,15.0,1
3.2,0,158,18.0,0.201,0.25,203.0,25.74,0
3.3,0,168,26.0,1.267,0.64,230.0,35.0,0
5.4,0,449,57.0,1.699,1.2,39.0,10.0,0
3.0,0,138,13.0,1.211,0.37,340.0,35.0,0
6.4,0,637,129.0,1.55,0.65,20.0,72.0,1
2.9,0,129,13.0,1.081,0.71,114.0,0.0,0
4.0,0,246,11.0,1.209,0.65,93.0,10.0,0
2.18,0,73,7.0,0.586,0.14,235.0,-0.51,0
5.2,0,416,46.0,1.659,0.81,105.0,74.57,0
4.4,0,298,16.0,2.671,0.95,107.0,10.0,0
4.3,0,284,20.0,2.225,1.09,158.0,10.0,0
6.7,1,692,120.0,6.575,0.55,23.0,13.0,1
6.4,1,632,198.0,6.734,0.62,27.0,13.0,1
6.1,0,615,193.0,5.476,0.6,38.0,8.0,1
2.14,0,79,13.0,0.03073,0.31,64.0,4.43,0
2.2,0,74,12.0,0.7,0.4,92.0,6.2115,0
3.0,0,139,11.0,0.2157,0.15,195.0,49.35,0
3.0,0,138,39.0,1.01,0.66,217.0,35.0,0
3.3,0,168,16.0,0.517,0.38,183.0,80.504,0
2.9,0,129,16.0,2.056,0.35,247.0,35.0,0
4.1,0,259,10.0,1.348,0.41,141.0,91.774,0
4.3,0,284,31.0,2.048,0.46,93.0,132.833,0
4.7,0,340,104.0,1.506,0.52,68.0,55.741,0
5.1,0,400,114.0,1.73,0.63,61.0,35.0,1
5.8,0,518,133.0,1.379,0.76,35.0,265.0,0
5.2,0,416,83.0,3.985,0.98,60.0,10.0,0
1.8,0,50,22.0,0.0,0.1,38.0,8.2782,0
5.0,0,385,61.0,1.76,0.66,90.0,55.396,0
4.6,0,326,20.0,35.788,0.46,65.0,10.0,0
3.8,0,222,36.0,0.681,0.51,202.0,45.272,0
3.0,0,138,21.0,1.67,0.74,229.0,17.499,0
4.3,0,284,15.0,4.025,0.66,138.0,258.652,0
6.2,0,593,233.0,2.382,0.54,47.0,248.0,0
3.0,0,138,23.0,0.732,0.59,218.0,35.0,0
4.0,0,246,13.0,3.023,0.26,101.0,10.0,0
5.0,0,385,73.0,2.256,0.57,73.0,10.356,0
6.2,0,605,118.0,3.264,1.32,19.0,49.0,1
2.29,0,81,59.0,0.04761,0.15,61.0,2.77,0
6.3,1,611,248.0,0.345,1.2,31.0,73.0,1
1.05,0,17,55.0,0.0722,0.2,48.0,11.18,0
6.6,1,672,156.0,2.725,0.76,11.0,600.933,1
4.9,0,369,13.0,27.662,0.42,128.0,10.0,0
5.0,0,385,66.0,4.692,1.17,55.0,21.83,0
4.4,0,298,46.0,10.598,0.57,212.0,10.0,0
5.1,0,400,94.0,1.803,0.84,80.0,46.561,0
2.42,0,90,10.0,0.06635,0.12,212.0,9.17,0
4.1,0,259,49.0,1.614,0.5,176.0,83.572,0
4.5,0,312,25.0,2.531,1.1,129.0,10.0,0
2.22,0,76,6.0,0.06968,0.05,224.0,17.1,0
1.2,0,22,39.0,0.007523,0.05,40.0,1.39,0
1.5,0,35,30.0,0.02558,0.12,50.0,8.91,0
6.0,0,554,176.0,1.813,0.58,42.0,9.0,1
6.3,0,616,178.0,3.065,0.98,36.0,40.0,1
4.4,0,298,19.0,1.923,0.69,132.0,10.0,0
5.0,0,385,113.0,1.751,0.51,81.0,77.532,0
1.0,0,15,15.0,0.011,0.2087,77.29,5.6,0
4.3,0,284,15.0,7.7,0.41,130.0,10.0,0
7.1,0,779,142.0,5.771,0.7,53.0,6.0,1
4.6,0,326,36.0,1.08,0.59,88.0,47.743,0
5.3,0,432,71.0,1.89,0.89,80.0,57.029,0
6.9,0,761,300.0,1.807,0.51,12.0,9.0,1
5.1,0,400,116.0,4.499,0.67,25.0,87.171,0
5.0,0,385,127.0,5.974,0.75,74.0,10.0,1
7.0,1,796,154.0,3.044,0.83,20.0,70.0,1
5.4,0,449,54.0,1.343,1.14,56.0,10.0,0
1.0,0,15,16.0,0.017,0.1489,79.79,5.1,0
4.0,0,246,45.0,0.302,0.41,124.0,221.301,0
4.5,0,312,23.0,2.522,0.39,105.0,10.0,0
6.9,1,733,127.0,0.371,0.97,45.0,10.0,1
2.7,0,112,14.0,0.231,0.53,158.0,100.643,0
4.4,0,298,52.0,2.254,0.91,79.0,224.789,0
6.9,1,741,108.0,1.181,0.96,21.0,229.0,1
6.2,0,603,200.0,0.638,0.34,34.0,21.0,1
5.2,0,416,84.0,7.194,0.53,69.0,10.0,0
6.4,0,631,126.0,3.301,0.65,31.0,78.0,1
7.0,1,1364,152.0,5.276,0.6,22.0,33.729,1
5.2,0,416,54.0,1.51,1.17,81.0,60.964,0
5.0,0,385,110.0,4.664,0.75,93.0,42.223,1
5.2,0,416,89.0,1.811,0.86,33.0,10.0,0
5.1,0,400,67.0,2.46,0.7,85.0,10.0,0
3.2,0,158,27.0,0.818,1.02,230.0,35.0,0
5.6,0,494,271.0,0.404,0.86,51.0,61.708,1
6.1,0,679,259.0,2.102,0.57,51.0,42.0,1
2.6,0,104,15.0,0.055,0.24,179.0,150.014,0
4.1,0,259,13.0,2.713,0.69,220.0,70.751,0
3.4,0,178,14.0,0.7894,0.28,248.0,11.87,0
2.0,0,62,11.0,0.1,0.4,77.0,4.9643,0
4.4,0,298,44.0,12.985,0.76,61.0,10.0,0
3.2,0,158,38.0,0.1,0.1,37.0,7.5198,0
5.1,0,400,93.0,2.046,0.46,44.0,10.0,0
3.4,0,403,34.0,0.063,0.1648,71.91,7.0,0
4.1,0,259,12.0,1.959,0.31,154.0,114.245,0
4.0,0,246,33.0,24.412,0.93,125.0,47.332,0
4.0,0,246,16.0,2.243,0.58,125.0,399.85,0
5.0,0,385,101.0,6.629,0.53,49.0,10.0,1
3.4,0,178,16.0,0.939,0.8,76.0,0.0,0
6.1,0,577,105.0,1.691,0.89,17.0,82.297,0
5.1,0,401,49.0,1.495,0.76,116.0,10.0,0
4.5,0,312,33.0,3.657,0.54,45.0,120.353,0
4.8,0,354,63.0,3.487,0.56,54.0,72.584,0
3.2,0,158,21.0,0.837,0.51,247.0,35.0,0
6.3,0,613,255.0,4.729,0.75,21.0,237.0,1
4.4,0,298,77.0,1.032,0.72,29.0,10.0,0
4.5,0,312,16.0,12.901,0.2,133.0,9.608,0
7.3,1,833,149.0,1.865,0.62,21.0,37.0,1
3.75,0,218,179.0,0.6969,0.27,236.0,10.0,0
5.7,0,500,81.0,1.803,0.52,48.0,45.264,0
5.7,0,500,194.0,4.729,0.54,55.0,19.0,1
1.87,0,54,89.0,0.0303,0.19,26.0,16.63,0
6.0,0,554,176.0,1.813,0.58,42.0,9.0,1
2.4,0,89,17.0,0.0,0.3,70.0,6.6714,0
2.7,0,112,10.0,0.736,0.147,179.01,0.4,0
6.2,0,592,201.0,4.581,0.64,34.0,554.0,0
5.9,0,536,88.0,2.527,0.98,30.0,10.0,0
3.0,0,138,17.0,0.38,0.5,236.0,13.445,0
5.0,0,385,68.0,1.875,1.11,64.0,10.0,0
2.0,0,62,14.0,0.0,0.1,75.0,7.2627,0
4.4,0,299,60.0,0.993,0.88,45.0,10.0,0
4.3,0,284,79.0,0.526,0.54,102.0,71.322,0
4.2,0,271,22.0,1.386,0.58,152.0,37.186,0
6.8,1,1179,175.0,2.137,0.66,92.0,20.0,1
4.6,0,326,34.0,1.16,0.68,171.0,50.462,0
3.5,0,188,29.0,0.1,0.1,55.0,7.674,0
5.4,0,449,142.0,1.602,0.71,54.0,61.311,1
1.8,0,52,25.0,0.017,0.1573,73.08,6.0,0
1.09,0,18,9.0,0.01371,0.01,103.0,2.39,0
5.0,0,385,89.0,1.811,0.86,55.0,61.143,0
5.2,0,416,52.0,2.618,0.49,121.0,10.0,0
3.2,0,158,16.0,1.767,0.92,237.0,10.0,0
4.4,0,298,28.0,2.783,0.88,76.0,526.277,0
3.33,0,171,19.0,1.003,0.34,313.0,28.28,0
4.0,0,251,13.0,0.32,0.6,182.0,10.0,0
4.6,0,326,63.0,21.509,0.63,160.0,10.0,0
4.0,0,247,17.0,0.294,0.63,132.0,86.524,0
4.3,0,284,12.0,3.007,0.65,196.0,10.0,0
2.1,0,68,20.0,0.0,0.2,88.0,5.7717,0
7.0,1,768,117.0,0.509,0.58,17.0,14.0,1
3.6,0,199,24.0,2.329,1.0,94.0,19.229,0
5.7,0,502,88.0,2.355,0.6,131.0,14.0,0
6.6,1,709,135.0,1.822,0.83,32.0,19.0,1
1.6,0,39,9.0,0.433,0.1265,254.83,7.6,0
5.8,0,518,123.0,1.879,0.62,84.0,61.655,1
5.7,0,500,143.0,4.978,0.53,96.0,10.0,1
4.7,0,340,106.0,7.258,0.43,47.0,203.133,0
3.3,0,168,19.0,0.19,0.3,201.0,27.685,0
6.9,1,733,107.0,10.102,0.51,37.0,10.0,1
6.1,0,574,161.0,7.084,0.63,16.0,185.0,0
4.5,0,312,31.0,2.094,0.8,116.0,10.0,0
3.18,0,156,4.0,0.6083,0.07,309.0,12.33,0
3.5,0,188,19.0,1.744,0.26,319.0,10.0,0
5.0,0,385,47.0,2.128,0.72,126.0,35.0,0
5.6,0,482,94.0,1.953,0.52,43.0,36.128,0
7.5,0,2477,111.0,0.73,0.7,29.0,7.432,1
4.0,0,246,21.0,2.54,1.05,68.0,495.388,0
3.7,0,211,42.0,1.026,0.73,157.0,10.0,0
2.6,0,104,29.0,0.783,0.4,221.0,10.0,0
5.1,0,402,163.0,0.434,0.5,26.0,72.197,0
6.7,0,692,179.0,1.598,0.42,28.0,10.0,1
6.2,0,617,143.0,1.064,0.53,31.0,121.0,1
3.8,0,222,40.0,0.763,0.85,216.0,35.0,0
1.7,0,44,19.0,0.0,0.1,71.0,6.7743,0
5.0,0,385,65.0,12.772,0.59,54.0,10.0,0
5.2,0,416,166.0,2.129,0.49,81.0,49.291,1
3.0,0,138,33.0,2.412,0.4,260.0,10.0,0
2.17,0,72,7.0,0.1463,0.07,260.0,7.41,0
5.0,0,385,86.0,3.719,1.04,65.0,35.594,0
7.2,1,912,410.0,0.973,0.69,62.0,25.0,1
3.7,0,211,62.0,0.799,0.54,195.0,35.0,0
1.6,0,39,16.0,0.0,0.1,57.0,7.5069,0
4.3,0,284,32.0,4.584,0.71,104.0,553.034,0
6.2,1,889,164.0,0.494,0.75,61.0,10.0,1
5.1,0,400,95.0,1.546,0.74,56.0,60.367,0
3.8,0,224,32.0,0.066,0.4,59.0,6.816,0
5.0,0,385,140.0,3.002,0.66,69.0,51.179,1
4.4,0,298,52.0,1.453,0.8,126.0,79.396,0
2.4,0,89,8.0,0.3,0.4,125.0,4.2307,0
4.3,0,284,16.0,1.979,0.54,88.0,10.0,0
5.3,0,432,32.0,17.061,0.94,78.0,10.0,0
4.3,0,284,28.0,4.882,0.75,132.0,44.541,0
3.2,0,158,8.0,0.6004,0.24,313.0,15.35,0
1.0,0,15,7.0,0.009,0.165,96.48,5.2,0
2.3,0,81,8.0,0.3,0.2,127.0,14.8193,0
3.43,0,181,16.0,0.615,0.14,249.0,34.63,0
2.04,0,64,21.0,0.05019,0.28,53.0,4.44,0
6.0,0,554,142.0,1.136,0.57,24.0,222.0,0
4.1,0,259,52.0,0.771,0.95,39.0,10.0,0
5.1,0,400,91.0,1.613,0.53,114.0,45.673,0
2.78,0,131,64.0,0.04029,0.08,52.0,4.27,0
3.5,0,188,36.0,0.723,0.54,213.0,35.0,0
7.0,1,768,116.0,6.096,0.57,36.0,29.0,1
6.0,0,554,178.0,2.433,0.46,62.0,20.0,1
4.0,0,246,12.0,0.807,0.56,76.0,10.0,0
3.2,0,158,16.0,0.651,0.33,179.0,35.0,0
5.5,0,465,157.0,2.279,0.43,80.0,26.021,1
5.1,0,400,108.0,2.021,0.61,66.0,59.088,1
1.7,0,44,19.0,0.0,0.1,66.0,6.5815,0
1.36,0,28,22.0,0.05119,0.06,156.0,5.15,0
2.9,0,129,20.0,1.944,0.68,237.0,18.816,0
6.0,0,554,117.0,5.93,0.72,18.0,523.0,0
6.3,0,660,340.0,0.412,0.74,19.0,36.0,1
3.07,0,207,50.0,0.003138,0.08,111.0,6.22,0
6.5,1,749,178.0,0.43,0.75,54.0,10.0,1
4.4,0,298,45.0,1.555,0.78,88.0,10.0,0
6.6,1,920,172.0,2.469,0.72,24.0,14.0,1
4.6,0,326,100.0,3.096,0.4,79.0,34.705,0
6.7,1,797,145.0,1.151,1.02,37.0,20.0,1
5.8,0,523,72.0,1.437,1.12,131.0,16.0,0
1.89,0,55,82.0,0.09841,0.19,20.0,8.03,0
2.44,0,92,5.0,0.1287,0.07,192.0,11.96,0
5.0,0,385,82.0,4.831,0.65,73.0,10.0,0
5.7,0,555,147.0,8.396,0.74,39.0,75.0,0
1.93,0,57,22.0,0.04981,0.11,48.0,7.0,0
2.92,0,131,5.0,0.6414,0.29,259.0,23.75,0
3.8,0,222,13.0,0.5945,0.78,242.0,56.0,0
6.2,0,594,324.0,1.576,0.72,11.0,79.0,0
4.4,0,298,30.0,4.714,0.52,97.0,540.345,0
3.0,0,139,11.0,0.2157,0.15,195.0,49.35,0
4.0,0,246,20.0,2.435,0.32,125.0,214.656,0
4.6,0,326,19.0,0.651,0.53,199.0,10.0,0
6.4,1,643,125.0,1.792,0.96,65.0,35.0,1
4.0,0,246,59.0,0.839,0.54,183.0,33.894,0
3.8,0,222,23.0,0.898,0.69,219.0,35.0,0
4.4,0,298,28.0,1.617,0.83,96.0,210.942,0
5.2,0,416,131.0,7.296,0.49,69.0,10.0,1
4.8,0,354,32.0,35.154,0.33,68.0,10.0,0
3.4,0,193,12.0,0.747,0.24,87.0,5.03,0
6.6,1,670,131.0,4.998,0.65,27.0,624.464,1
6.1,0,1760,286.0,0.399,0.64,14.0,10.0,1
1.35,0,28,10.0,0.1188,0.1,92.0,11.36,0
6.2,0,596,108.0,4.56,0.61,22.0,23.844,1
3.0,0,138,58.0,0.089,0.73,48.0,0.0,0
6.0,0,555,88.0,2.061,0.79,76.0,13.0,0
6.0,0,555,103.0,1.498,0.99,47.0,13.0,1
2.1,0,68,37.0,0.135,0.45,51.0,9.77,0
5.3,0,432,101.0,2.103,0.53,59.0,46.818,1
2.6,0,104,13.0,1.028,0.51,150.0,0.0,0
1.15,0,20,61.0,0.07031,0.23,46.0,10.39,0
1.19,0,22,12.0,0.05215,0.07,65.0,10.18,0
6.3,0,1023,125.0,5.708,0.92,21.0,9.0,1
4.3,0,284,29.0,2.801,0.96,130.0,10.0,0
6.1,0,597,150.0,0.837,0.38,91.0,10.0,1
2.34,0,84,9.0,0.06361,0.2,143.0,14.29,0
5.0,0,385,127.0,1.367,0.79,111.0,25.692,1
1.82,0,51,8.0,0.6029,0.16,239.0,-0.51,0
1.35,0,28,44.0,0.1979611533,0.29,104.0,7.58,0
5.0,0,385,110.0,4.664,0.75,93.0,42.223,1
1.21,0,23,72.0,0.07055,0.16,21.0,15.93,0
1.0,0,15,15.0,0.011,0.1774,77.59,5.3,0
5.1,0,400,30.0,2.009,1.01,107.0,54.816,0
5.2,0,418,102.0,7.56,0.82,90.0,10.0,1
5.4,0,449,65.0,33.372,0.77,66.0,10.0,0
4.0,0,246,12.0,0.807,0.56,76.0,10.0,0
5.0,0,385,65.0,12.772,0.59,54.0,10.0,0
5.2,0,416,113.0,7.33,0.44,68.0,10.0,1
5.6,0,482,100.0,1.639,0.64,102.0,79.813,0
3.37,0,175,17.0,1.163,0.32,334.0,28.75,0
4.2,0,271,31.0,4.344,0.44,94.0,10.949,0
4.0,0,246,47.0,0.726,1.16,160.0,43.889,0
6.3,0,2497,146.0,1.387,0.95,26.0,16.0,1
7.1,0,848,131.0,2.297,0.7,34.0,34.0,1
5.0,0,385,111.0,4.209,0.81,57.0,45.557,1
2.3,0,81,12.0,0.1,0.3,71.0,6.8718,0
3.78,0,220,17.0,0.3435,0.5,271.0,8.0,0
4.0,0,246,23.0,3.642,0.68,81.0,576.008,0
3.1,0,148,22.0,0.737,0.49,213.0,10.0,0
4.0,0,246,18.0,1.932,0.47,129.0,83.898,0
1.63,0,41,43.0,0.08706,0.17,61.0,10.46,0
5.0,0,385,59.0,2.496,0.6,85.0,10.0,0
5.0,0,385,86.0,3.376,0.64,91.0,23.517,0
1.16,0,21,36.0,0.004161,0.07,33.0,2.4,0
2.7,0,112,14.0,0.41,0.31,176.0,67.816,0
6.0,0,554,268.0,2.664,0.61,18.0,20.0,1
3.3,0,168,45.0,0.998,0.59,61.0,0.0,0
2.09,0,67,4.0,0.06409,0.09,229.0,5.27,0
3.41,0,199,106.0,0.006625,0.06,27.0,2.08,0
6.1,1,574,126.0,0.862,0.69,52.0,20.0,1
4.2,0,271,22.0,2.641,0.69,54.0,339.45,0
4.5,0,312,14.0,3.103,0.5,115.0,154.099,0
5.4,0,449,42.0,1.722,0.97,81.0,35.0,0
3.3,0,168,44.0,1.773,1.07,107.0,0.0,0
2.69,0,112,37.0,0.1309,0.29,58.0,4.42,0
4.4,0,298,23.0,1.537,0.41,117.0,46.795,0
4.2,0,271,23.0,1.976,0.53,132.0,9.696,0
7.0,1,1364,152.0,5.276,0.6,22.0,33.729,1
1.1,0,19,16.0,0.01109,0.01,77.0,2.23,0
3.5,0,188,30.0,0.896,0.95,211.0,35.0,0
5.1,0,400,92.0,1.715,0.7,101.0,46.984,0
3.2,0,158,17.0,0.915,0.94,82.0,0.0,0
4.1,0,259,17.0,0.697,0.66,103.0,10.0,0
5.0,0,386,81.0,4.128,0.81,65.0,13.881,0
4.2,0,271,16.0,2.415,0.48,74.0,36.644,0
5.0,0,385,66.0,6.688,0.69,44.0,155.602,0
7.6,1,1284,128.0,1.668,0.98,43.0,40.0,1
5.0,0,385,133.0,1.657,0.67,56.0,87.186,0
5.2,0,416,102.0,2.541,1.15,60.0,10.0,1
5.7,0,634,212.0,0.666,1.06,24.0,54.0,1
4.6,0,326,200.0,1.428,0.69,28.0,522.98,0
1.0,0,15,10.0,0.012,0.1566,77.64,4.6,0
1.01,0,16,66.0,0.05561,0.2,37.0,14.18,0
7.0,1,759,324.0,1.747,0.68,8.0,10.0,1
5.0,0,385,87.0,1.836,0.7,67.0,71.731,0
5.0,0,385,87.0,5.698,0.8,49.0,125.59,0
4.2,0,271,18.0,3.082,0.72,150.0,35.0,0
3.43,0,181,8.0,0.6065,0.16,309.0,29.9,0
6.0,0,554,101.0,11.441,0.56,44.0,10.0,1
3.8,0,222,41.0,1.168,0.45,141.0,245.924,0
4.6,0,326,72.0,3.148,0.69,84.0,535.623,0
6.2,0,591,248.0,4.325,0.56,33.0,575.0,0
4.4,0,298,30.0,1.116,0.53,96.0,10.0,0
2.4,0,89,15.0,0.0,0.1,58.0,8.4453,0
5.4,0,449,96.0,1.569,0.52,79.0,51.478,0
1.08,0,18,13.0,0.0186,0.02,124.0,2.0,0
7.1,1,788,146.0,2.637,1.08,20.0,48.0,1
4.2,0,271,35.0,1.768,0.65,80.0,122.959,0
7.0,1,759,324.0,1.747,0.68,8.0,10.0,1
5.1,0,400,71.0,1.731,0.68,88.0,51.097,0
5.2,0,416,78.0,15.268,0.64,74.0,49.404,0
6.3,1,785,320.0,1.286,0.61,33.0,16.0,1
6.0,0,643,220.0,0.82,0.67,35.0,19.0,1
6.8,1,878,308.0,0.664,0.92,23.0,68.0,1
2.33,0,85,90.0,0.04273,0.16,43.0,12.83,0
6.4,1,639,101.0,1.261,0.73,100.0,4.0,1
6.2,0,591,102.0,2.919,0.5,37.0,9.0,1
4.2,0,271,14.0,1.97,0.61,124.0,40.766,0
4.1,0,259,23.0,1.788,0.6,139.0,89.342,0
5.8,0,519,173.0,2.396,0.78,62.0,12.0,1
2.9,0,130,29.0,0.2,0.2,69.0,8.1923,0
5.5,0,466,64.0,2.759,0.65,37.0,10.0,0
4.6,0,326,24.0,7.291,0.54,100.0,10.0,0
4.0,0,246,20.0,0.989,0.95,175.0,38.072,0
4.2,0,271,16.0,3.82,1.17,136.0,201.365,0
3.2,0,200,39.0,0.543,0.37,89.0,9.428,0
5.1,0,400,158.0,1.983,0.44,36.0,62.979,1
3.9,0,234,34.0,1.255,0.89,151.0,40.564,0
5.3,0,432,124.0,3.304,0.67,24.0,10.0,1
5.5,0,465,133.0,1.829,0.59,68.0,26.181,1
4.7,0,340,41.0,9.067,0.91,103.0,10.0,0
5.4,0,449,56.0,1.651,0.7,84.0,60.468,0
4.6,0,326,64.0,1.556,0.99,219.0,35.0,0
3.0,0,138,13.0,0.832,0.44,250.0,10.0,0
4.2,0,271,38.0,0.452,0.53,100.0,193.928,0
4.1,0,259,35.0,9.223,0.98,142.0,660.826,0
2.4,0,89,12.0,0.2,0.3,85.0,8.119,0
3.62,0,202,8.0,1.3876,0.28,312.0,37.0,0
5.5,0,465,101.0,1.898,0.71,43.0,39.402,1
4.4,0,298,39.0,1.665,0.68,93.0,17.868,0
4.5,0,312,29.0,5.38,0.56,198.0,235.649,0
4.6,0,326,92.0,1.455,0.83,86.0,230.316,0
1.7,0,45,25.0,0.019,0.1582,80.23,5.8,0
5.9,0,536,85.0,3.93,0.48,61.0,10.0,0
5.3,0,432,123.0,1.735,1.1,45.0,66.931,1
5.3,0,432,117.0,2.031,0.88,43.0,47.433,1
4.7,0,378,149.0,0.689,0.73,15.0,10.239,0
3.5,0,189,31.0,1.116,0.4,48.0,11.457,0
2.6,0,104,30.0,1.479,0.27,235.0,10.0,0
6.1,0,572,297.0,2.58,0.59,18.0,137.0,0
1.1,0,19,15.0,0.016,0.1594,78.15,5.8,0
3.21,0,159,13.0,0.8093,0.37,291.0,12.1,0
6.1,0,583,145.0,1.341,0.85,38.0,84.0,0
2.1,0,68,92.0,0.08728287212,0.17,43.0,5.04,0
3.6,0,203,19.0,0.1,0.2,80.0,8.6325,0
2.6,0,104,19.0,0.0,0.3,42.0,7.2627,0
6.0,0,554,115.0,1.145,0.75,34.0,131.0,0
3.1,0,148,16.0,0.269,0.37,193.0,122.028,0
5.4,0,449,78.0,2.143,0.73,88.0,42.849,0
6.2,0,591,150.0,5.963,0.62,24.0,21.0,1
3.78,0,220,13.0,0.5144,0.44,221.0,9.0,0
1.16,0,21,22.0,0.04174,0.19,158.0,9.17,0
5.4,0,477,228.0,1.869,1.14,30.0,39.269,1
6.1,0,573,83.0,1.978,1.19,29.0,10.0,0
5.3,0,433,160.0,1.679,0.6,24.0,48.605,1
4.4,0,298,14.0,1.873,0.51,118.0,10.0,0
5.1,0,400,76.0,1.641,0.68,106.0,73.552,0
4.3,0,284,13.0,8.158,0.54,113.0,10.0,0
1.9,0,56,15.0,0.1,0.3,90.0,2.8123,0
4.6,0,326,45.0,22.587,0.74,68.0,10.0,0
4.0,0,246,9.0,8.331,0.29,145.0,10.0,0
4.5,0,312,26.0,1.51,1.13,116.0,94.234,0
6.1,0,572,186.0,1.572,0.75,37.0,9.969,1
3.87,0,230,18.0,0.6014,0.58,252.0,10.0,0
4.5,0,312,48.0,1.202,0.74,100.0,51.324,0
3.8,0,222,25.0,2.371,1.0,93.0,10.0,0
3.5,0,188,12.0,0.3795,0.56,229.0,97.0,0
4.4,0,298,46.0,3.455,0.54,49.0,540.654,0
5.1,0,400,129.0,1.745,0.62,79.0,57.413,1
5.1,0,400,83.0,4.573,0.66,65.0,10.0,0
3.0,0,138,17.0,0.451,0.25,229.0,56.548,0
1.24,0,24,45.0,0.004597,0.05,59.0,1.68,0
6.7,1,691,249.0,3.94,0.73,19.0,55.0,1
6.0,0,554,105.0,0.784,1.0,56.0,19.0,1
3.7,0,211,10.0,1.2764,0.31,323.0,34.0,0
5.5,0,465,72.0,1.825,0.75,81.0,66.805,0
